plant.sp,plant.genus,plant.family
Dactylis glomerata,Dactylis,Poaceae
Dactylorhiza incarnata,Dactylorhiza,Orchidaceae
Dactylorhiza maculata,Dactylorhiza,Orchidaceae
Dactylorhiza majalis,Dactylorhiza,Orchidaceae
Daphne mezereum,Daphne,Thymelaeaceae
Daucus carota,Daucus,Apiaceae
Dentaria enneaphyllos,Dentaria,Brassicaceae
Deschampsia cespitosa,Deschampsia,Poaceae
Doronicum grandiflorum,Doronicum,Asteraceae
Draba aizoides,Draba,Brassicaceae
Dryas octopetala,Dryas,Rosaceae
Epilobium alpestre,Epilobium,Onagraceae
Epilobium alsinifolium,Epilobium,Onagraceae
Epilobium angustifolium,Epilobium,Onagraceae
Epilobium montanum,Epilobium,Onagraceae
Epipactis atrorubens,Epipactis,Orchidaceae
Erica carnea,Erica,Ericaceae
Erigeron annuus,Erigeron,Asteraceae
Erigeron uniflorus,Erigeron,Asteraceae
Eupatorium cannabinum,Eupatorium,Asteraceae
Euphorbia amygdaloides,Euphorbia,Euphorbiaceae
Euphorbia cyparissias,Euphorbia,Euphorbiaceae
Euphrasia minima,Euphrasia,Orobanchaceae
Euphrasia picta,Euphrasia,Orobanchaceae
Euphrasia rostkoviana,Euphrasia,Orobanchaceae
Festuca nigrescens,Festuca,Poaceae
Festuca pratensis,Festuca,Poaceae
Festuca quadriflora,Festuca,Poaceae
Ficaria verna,Ficaria,Ranunculaceae
Fragaria vesca,Fragaria,Rosaceae
Galeopsis speciosa,Galeopsis,Lamiaceae
Galeopsis tetrahit,Galeopsis,Lamiaceae
Galium album,Galium,Rubiaceae
Galium anisophyllon,Galium,Rubiaceae
Galium pumilum,Galium,Rubiaceae
Gentiana asclepiadea,Gentiana,Gentianaceae
Gentianella aspera,Gentianella,Gentianaceae
Gentiana bavarica,Gentiana,Gentianaceae
Gentianella ciliata,Gentianella,Gentianaceae
Gentiana clusii,Gentiana,Gentianaceae
Gentiana cruciata,Gentiana,Gentianaceae
Gentiana nivalis,Gentiana,Gentianaceae
Gentiana pannonica,Gentiana,Gentianaceae
Gentiana utriculosa,Gentiana,Gentianaceae
Gentiana verna,Gentiana,Gentianaceae
Geranium robertianum,Geranium,Geraniaceae
Geranium sylvaticum,Geranium,Geraniaceae
Geum rivale,Geum,Rosaceae
Geum urbanum,Geum,Rosaceae
Glechoma hederacea,Glechoma,Lamiaceae
Globularia cordifolia,Globularia,Plantaginaceae
Globularia nudicaulis,Globularia,Plantaginaceae
Platanthera bifolia,Platanthera,Orchidaceae
Gymnadenia conopsea,Gymnadenia,Orchidaceae
Gymnadenia odoratissima,Gymnadenia,Orchidaceae
Gypsophila repens,Gypsophila,Caryophyllaceae
Hedysarum hedysaroides,Hedysarum,Fabaceae
Helianthemum alpestre,Helianthemum,Cistaceae
Helianthemum nummularium,Helianthemum,Cistaceae
Helictotrichon pubescens,Helictotrichon,Poaceae
Helleborus niger,Helleborus,Ranunculaceae
Hepatica nobilis,Hepatica,Ranunculaceae
Heracleum austriacum,Heracleum,Apiaceae
Heracleum sphondylium,Heracleum,Apiaceae
Hieracium bifidum,Hieracium,Asteraceae
Hieracium murorum,Hieracium,Asteraceae
Hieracium pilosella,Hieracium,Asteraceae
Hieracium pilosum,Hieracium,Asteraceae
Hieracium villosum,Hieracium,Asteraceae
Hippocrepis comosa,Hippocrepis,Fabaceae
Holcus lanatus,Holcus,Poaceae
Homogyne alpina,Homogyne,Asteraceae
Hypericum maculatum,Hypericum,Hypericaceae
Hypericum perforatum,Hypericum,Hypericaceae
Impatiens noli-tangere,Impatiens,Balsaminaceae
Juncus trifidus,Juncus,Juncaceae
Juniperus communis,Juniperus,Cupressaceae
Knautia arvensis,Knautia,Caprifoliaceae
Knautia dipsacifolia,Knautia,Caprifoliaceae
Lamium galeobdolon,Lamium,Lamiaceae
Lamium maculatum,Lamium,Lamiaceae
Lathyrus pratensis,Lathyrus,Fabaceae
Leontodon hispidus,Leontodon,Asteraceae
Leucanthemum halleri,Leucanthemum,Asteraceae
Leucanthemum vulgare,Leucanthemum,Asteraceae
Ligusticum mutellina,Ligusticum,Apiaceae
Lilium martagon,Lilium,Liliaceae
Linaria alpina,Linaria,Plantaginaceae
Linaria vulgaris,Linaria,Plantaginaceae
Linum catharticum,Linum,Linaceae
Listera ovata,Listera,Orchidaceae
Lolium perenne,Lolium,Poaceae
Lotus corniculatus,Lotus,Fabaceae
Luzula glabrata,Luzula,Juncaceae
Luzula luzulina,Luzula,Juncaceae
Luzula multiflora,Luzula,Juncaceae
Luzula pilosa,Luzula,Juncaceae
Luzula sylvatica,Luzula,Juncaceae
Lysimachia nemorum,Lysimachia,Primulaceae
Lysimachia nummularia,Lysimachia,Primulaceae
Maianthemum bifolium,Maianthemum,Asparagaceae
Malaxis monophyllos,Malaxis,Orchidaceae
Medicago lupulina,Medicago,Fabaceae
Melampyrum sylvaticum,Melampyrum,Orobanchaceae
Melica nutans,Melica,Poaceae
Mentha longifolia,Mentha,Lamiaceae
Mercurialis perennis,Mercurialis,Euphorbiaceae
Minuartia gerardii,Minuartia,Caryophyllaceae
Minuartia sedoides,Minuartia,Caryophyllaceae
Minuartia verna,Minuartia,Caryophyllaceae
Moehringia ciliata,Moehringia,Caryophyllaceae
Moehringia muscosa,Moehringia,Caryophyllaceae
Molinia caerulea,Molinia,Poaceae
Myosotis alpestris,Myosotis,Boraginaceae
Myosotis nemorosa,Myosotis,Boraginaceae
Myosotis sylvatica,Myosotis,Boraginaceae
Nigritella rhellicani,Nigritella,Orchidaceae
Ophrys insectifera,Ophrys,Orchidaceae
Orchis ustulata,Orchis,Orchidaceae
Origanum vulgare,Origanum,Lamiaceae
Oxalis acetosella,Oxalis,Oxalidaceae
Papaver aurantiacum,Papaver,Papaveraceae
Paris quadrifolia,Paris,Melanthiaceae
Parnassia palustris,Parnassia,Celastraceae
Pedicularis rostratocapitata,Pedicularis,Orobanchaceae
Pedicularis rostratospicata,Pedicularis,Orobanchaceae
Petasites albus,Petasites,Asteraceae
Peucedanum ostruthium,Peucedanum,Apiaceae
Phleum pratense,Phleum,Poaceae
Phleum rhaeticum,Phleum,Poaceae
Phyteuma orbiculare,Phyteuma,Campanulaceae
Phyteuma spicatum,Phyteuma,Campanulaceae
Pimpinella major,Pimpinella,Apiaceae
Pinguicula alpina,Pinguicula,Lentibulariaceae
Plantago lanceolata,Plantago,Plantaginaceae
Plantago major,Plantago,Plantaginaceae
Plantago media,Plantago,Plantaginaceae
Poa alpina,Poa,Poaceae
Poa annua,Poa,Poaceae
Poa pratensis,Poa,Poaceae
Poa trivialis,Poa,Poaceae
Polygala alpestris,Polygala,Polygalaceae
Polygala amara,Polygala,Polygalaceae
Polygala amarella,Polygala,Polygalaceae
Polygala chamaebuxus,Polygala,Polygalaceae
Polygonatum odoratum,Polygonatum,Asparagaceae
Polygonatum verticillatum,Polygonatum,Asparagaceae
Polygonum viviparum,Polygonum,Polygonaceae
Potentilla aurea,Potentilla,Rosaceae
Potentilla brauneana,Potentilla,Rosaceae
Potentilla erecta,Potentilla,Rosaceae
Potentilla reptans,Potentilla,Rosaceae
Prenanthes purpurea,Prenanthes,Asteraceae
Primula auricula,Primula,Primulaceae
Primula elatior,Primula,Primulaceae
Primula farinosa,Primula,Primulaceae
Primula minima,Primula,Primulaceae
Primula veris,Primula,Primulaceae
Pritzelago alpina,Pritzelago,Brassicaceae
Prunella vulgaris,Prunella,Lamiaceae
Pseudorchis albida,Pseudorchis,Orchidaceae
Pulsatilla alpina,Pulsatilla,Ranunculaceae
Pyrola rotundifolia,Pyrola,Ericaceae
Ranunculus aconitifolius,Ranunculus,Ranunculaceae
Ranunculus acris,Ranunculus,Ranunculaceae
Ranunculus alpestris,Ranunculus,Ranunculaceae
Ranunculus ficaria,Ranunculus,Ranunculaceae
Ranunculus montanus,Ranunculus,Ranunculaceae
Ranunculus nemorosus,Ranunculus,Ranunculaceae
Ranunculus repens,Ranunculus,Ranunculaceae
Rhinanthus alectorolophus,Rhinanthus,Orobanchaceae
Rhinanthus glacialis,Rhinanthus,Orobanchaceae
Rhinanthus minor,Rhinanthus,Orobanchaceae
Rhododendron hirsutum,Rhododendron,Ericaceae
Rhodothamnus chamaecistus,Rhodothamnus,Ericaceae
Rumex acetosa,Rumex,Polygonaceae
Rumex alpestris,Rumex,Polygonaceae
Rumex obtusifolius,Rumex,Polygonaceae
Sagina procumbens,Sagina,Caryophyllaceae
Sagina saginoides,Sagina,Caryophyllaceae
Salix retusa,Salix,Salicaceae
Salvia glutinosa,Salvia,Lamiaceae
Salvia verticillata,Salvia,Lamiaceae
Sanguisorba officinalis,Sanguisorba,Rosaceae
Sanicula europaea,Sanicula,Apiaceae
Saxifraga aizoides,Saxifraga,Saxifragaceae
Saxifraga androsacea,Saxifraga,Saxifragaceae
Saxifraga caesia,Saxifraga,Saxifragaceae
Saxifraga paniculata,Saxifraga,Saxifragaceae
Saxifraga rotundifolia,Saxifraga,Saxifragaceae
Saxifraga stellaris,Saxifraga,Saxifragaceae
Scabiosa lucida,Scabiosa,Caprifoliaceae
Scrophularia nodosa,Scrophularia,Scrophulariaceae
Sedum album,Sedum,Crassulaceae
Sedum atratum,Sedum,Crassulaceae
Senecio abrotanifolius,Senecio,Asteraceae
Senecio ovatus,Senecio,Asteraceae
Sesleria albicans,Sesleria,Poaceae
Sesleria caerulea,Sesleria,Poaceae
Silene acaulis,Silene,Caryophyllaceae
Silene dioica,Silene,Caryophyllaceae
Silene flos-cuculi,Silene,Caryophyllaceae
Silene nutans,Silene,Caryophyllaceae
Silene vulgaris,Silene,Caryophyllaceae
Solanum dulcamara,Solanum,Solanaceae
Soldanella alpina,Soldanella,Primulaceae
Solidago virgaurea,Solidago,Asteraceae
Stachys alopecuros,Stachys,Lamiaceae
Stachys officinalis,Stachys,Lamiaceae
Stachys sylvatica,Stachys,Lamiaceae
Stellaria graminea,Stellaria,Caryophyllaceae
Stellaria nemorum,Stellaria,Caryophyllaceae
Taraxacum officinale,Taraxacum,Asteraceae
Teucrium chamaedrys,Teucrium,Lamiaceae
Thalictrum aquilegiifolium,Thalictrum,Ranunculaceae
Thesium alpinum,Thesium,Thesiaceae
Thymus praecox,Thymus,Lamiaceae
Thymus pulegioides,Thymus,Lamiaceae
Tofieldia calyculata,Tofieldia,Tofieldiaceae
Tofieldia pusilla,Tofieldia,Tofieldiaceae
Tragopogon pratensis,Tragopogon,Asteraceae
Traunsteinera globosa,Traunsteinera,Orchidaceae
Trifolium badium,Trifolium,Fabaceae
Trifolium medium,Trifolium,Fabaceae
Trifolium montanum,Trifolium,Fabaceae
Trifolium pratense,Trifolium,Fabaceae
Trifolium repens,Trifolium,Fabaceae
Trisetum flavescens,Trisetum,Poaceae
Trollius europaeus,Trollius,Ranunculaceae
Tussilago farfara,Tussilago,Asteraceae
Urtica dioica,Urtica,Urticaceae
Vaccinium myrtillus,Vaccinium,Ericaceae
Vaccinium vitis-idaea,Vaccinium,Ericaceae
Valeriana dioica,Valeriana,Caprifoliaceae
Valeriana montana,Valeriana,Caprifoliaceae
Valeriana officinalis,Valeriana,Caprifoliaceae
Valeriana saxatilis,Valeriana,Caprifoliaceae
Valeriana tripteris,Valeriana,Caprifoliaceae
Veratrum album,Veratrum,Melanthiaceae
Verbascum thapsus,Verbascum,Scrophulariaceae
Veronica alpina,Veronica,Plantaginaceae
Veronica aphylla,Veronica,Plantaginaceae
Veronica beccabunga,Veronica,Plantaginaceae
Veronica chamaedrys,Veronica,Plantaginaceae
Veronica filiformis,Veronica,Plantaginaceae
Veronica fruticans,Veronica,Plantaginaceae
Veronica officinalis,Veronica,Plantaginaceae
Veronica serpyllifolia,Veronica,Plantaginaceae
Vicia cracca,Vicia,Fabaceae
Vicia sepium,Vicia,Fabaceae
Vincetoxicum hirundinaria,Vincetoxicum,Apocynaceae
Viola biflora,Viola,Violaceae
Viola collina,Viola,Violaceae
Viola hirta,Viola,Violaceae
Viola reichenbachiana,Viola,Violaceae
Willemetia stipitata,Willemetia,Asteraceae
Rubus idaeus,Rubus,Rosaceae
Rosa canina,Rosa,Rosaceae
Larix decidua,Larix,Pinaceae
Mentha aquatilis,Mentha,Lamiaceae
Salix spec.,Salix,Salicaceae
Caltha palustris,Caltha,Ranunculaceae
Pulmonaria officinalis,Pulmonaria,Boraginaceae
Rheum barbarum,Rheum,Polygonaceae
Mentha arvensis,Mentha,Lamiaceae
