site,elev.mean0,elev.mean,elev.class2,date,yday,yday0,bb.sp,k.type.ss,visits,visits.bin,prop.visits,prop.flower.cover,prop.flower.cover0,bb.sp.abund,bb.sp.abund0,pbl.w.class2
h1,-1.3184736594849777,817,low,2010-08-23,235,1.3537259562597639,pasc,6,2,1,0.09090909090909091,0.041666666666666664,0.022774589320592974,18,2.5486645960461605,med
h1,-1.3184736594849777,817,low,2010-08-23,235,1.3537259562597639,pasc,7,0,0,0,0.11111111111111112,1.0102699622071718,18,2.5486645960461605,med
h1,-1.3184736594849777,817,low,2010-08-23,235,1.3537259562597639,wurf,0,0,0,0,0.02777777777777778,-0.17472448525672268,2,-0.38783499377352165,med
h1,-1.3184736594849777,817,low,2010-08-23,235,1.3537259562597639,wurf,1,0,0,0,0.0763888888888889,0.5165222757638824,2,-0.38783499377352165,med
h1,-1.3184736594849777,817,low,2010-08-23,235,1.3537259562597639,wurf,2,0,0,0,0.034722222222222224,-0.07597494796806484,2,-0.38783499377352165,med
h1,-1.3184736594849777,817,low,2010-08-23,235,1.3537259562597639,wurf,5,2,1,0.09090909090909091,0.041666666666666664,0.022774589320592974,2,-0.38783499377352165,med
h1,-1.3184736594849777,817,low,2010-08-23,235,1.3537259562597639,wurf,6,0,0,0,0.041666666666666664,0.022774589320592974,2,-0.38783499377352165,med
h1,-1.3184736594849777,817,low,2010-08-23,235,1.3537259562597639,wurf,7,0,0,0,0.11111111111111112,1.0102699622071718,2,-0.38783499377352165,med
h1,-1.3184736594849777,817,low,2010-09-02,245,1.6427457782725574,pasc,0,0,0,0,0.015503875968992248,-0.34925855116225757,15,1.9980709229549698,med
h1,-1.3184736594849777,817,low,2010-09-02,245,1.6427457782725574,pasc,1,0,0,0,0.06976744186046512,0.4223657402095806,15,1.9980709229549698,med
h1,-1.3184736594849777,817,low,2010-09-02,245,1.6427457782725574,pasc,2,1,1,0.05263157894736842,0.023255813953488372,-0.23902650953770924,15,1.9980709229549698,med
h1,-1.3184736594849777,817,low,2010-09-02,245,1.6427457782725574,pasc,5,12,1,0.631578947368421,0.08527131782945736,0.6428298234586772,15,1.9980709229549698,med
h1,-1.3184736594849777,817,low,2010-09-02,245,1.6427457782725574,pasc,6,0,0,0,0.007751937984496124,-0.4594905927868059,15,1.9980709229549698,med
h1,-1.3184736594849777,817,low,2010-09-02,245,1.6427457782725574,pasc,7,2,1,0.10526315789473684,0.13178294573643412,1.3042220732059673,15,1.9980709229549698,med
h1,-1.3184736594849777,817,low,2010-09-02,245,1.6427457782725574,soro,0,0,0,0,0.015503875968992248,-0.34925855116225757,1,-0.5713662181372517,short
h1,-1.3184736594849777,817,low,2010-09-02,245,1.6427457782725574,soro,1,0,0,0,0.06976744186046512,0.4223657402095806,1,-0.5713662181372517,short
h1,-1.3184736594849777,817,low,2010-09-02,245,1.6427457782725574,soro,2,0,0,0,0.023255813953488372,-0.23902650953770924,1,-0.5713662181372517,short
h1,-1.3184736594849777,817,low,2010-09-02,245,1.6427457782725574,soro,5,0,0,0,0.08527131782945736,0.6428298234586772,1,-0.5713662181372517,short
h1,-1.3184736594849777,817,low,2010-09-02,245,1.6427457782725574,soro,6,0,0,0,0.007751937984496124,-0.4594905927868059,1,-0.5713662181372517,short
h1,-1.3184736594849777,817,low,2010-09-02,245,1.6427457782725574,soro,7,1,1,0.05263157894736842,0.13178294573643412,1.3042220732059673,1,-0.5713662181372517,short
h1,-1.3184736594849777,817,low,2010-09-02,245,1.6427457782725574,wurf,0,0,0,0,0.015503875968992248,-0.34925855116225757,3,-0.20430376940979153,med
h1,-1.3184736594849777,817,low,2010-09-02,245,1.6427457782725574,wurf,1,0,0,0,0.06976744186046512,0.4223657402095806,3,-0.20430376940979153,med
h1,-1.3184736594849777,817,low,2010-09-02,245,1.6427457782725574,wurf,2,0,0,0,0.023255813953488372,-0.23902650953770924,3,-0.20430376940979153,med
h1,-1.3184736594849777,817,low,2010-09-02,245,1.6427457782725574,wurf,5,3,1,0.15789473684210525,0.08527131782945736,0.6428298234586772,3,-0.20430376940979153,med
h1,-1.3184736594849777,817,low,2010-09-02,245,1.6427457782725574,wurf,6,0,0,0,0.007751937984496124,-0.4594905927868059,3,-0.20430376940979153,med
h1,-1.3184736594849777,817,low,2010-09-02,245,1.6427457782725574,wurf,7,0,0,0,0.13178294573643412,1.3042220732059673,3,-0.20430376940979153,med
h1,-1.3184736594849777,817,low,2011-06-04,155,-0.9584326198425845,pasc,0,0,0,0,0.011538461538461539,-0.4056464801471226,4,-0.0207725450460614,med
h1,-1.3184736594849777,817,low,2011-06-04,155,-0.9584326198425845,pasc,1,0,0,0,0.0923076923076923,0.7428865997024979,4,-0.0207725450460614,med
h1,-1.3184736594849777,817,low,2011-06-04,155,-0.9584326198425845,pasc,3,0,0,0,0.001923076923076923,-0.542376608700649,4,-0.0207725450460614,med
h1,-1.3184736594849777,817,low,2011-06-04,155,-0.9584326198425845,pasc,4,0,0,0,0.005769230769230769,-0.48768455727923843,4,-0.0207725450460614,med
h1,-1.3184736594849777,817,low,2011-06-04,155,-0.9584326198425845,pasc,5,0,0,0,0.02115384615384615,-0.2689163515935964,4,-0.0207725450460614,med
h1,-1.3184736594849777,817,low,2011-06-04,155,-0.9584326198425845,pasc,6,4,1,0.4,0.04038461538461538,0.004543905513456105,4,-0.0207725450460614,med
h1,-1.3184736594849777,817,low,2011-06-04,155,-0.9584326198425845,pasc,7,0,0,0,0.07692307692307693,0.5241183940168561,4,-0.0207725450460614,med
h1,-1.3184736594849777,817,low,2011-06-04,155,-0.9584326198425845,prat,0,0,0,0,0.011538461538461539,-0.4056464801471226,1,-0.5713662181372517,short
h1,-1.3184736594849777,817,low,2011-06-04,155,-0.9584326198425845,prat,1,0,0,0,0.0923076923076923,0.7428865997024979,1,-0.5713662181372517,short
h1,-1.3184736594849777,817,low,2011-06-04,155,-0.9584326198425845,prat,3,0,0,0,0.001923076923076923,-0.542376608700649,1,-0.5713662181372517,short
h1,-1.3184736594849777,817,low,2011-06-04,155,-0.9584326198425845,prat,4,0,0,0,0.005769230769230769,-0.48768455727923843,1,-0.5713662181372517,short
h1,-1.3184736594849777,817,low,2011-06-04,155,-0.9584326198425845,prat,5,0,0,0,0.02115384615384615,-0.2689163515935964,1,-0.5713662181372517,short
h1,-1.3184736594849777,817,low,2011-06-04,155,-0.9584326198425845,prat,6,0,0,0,0.04038461538461538,0.004543905513456105,1,-0.5713662181372517,short
h1,-1.3184736594849777,817,low,2011-06-04,155,-0.9584326198425845,prat,7,1,1,0.1,0.07692307692307693,0.5241183940168561,1,-0.5713662181372517,short
h1,-1.3184736594849777,817,low,2011-06-04,155,-0.9584326198425845,soro,0,0,0,0,0.011538461538461539,-0.4056464801471226,4,-0.0207725450460614,short
h1,-1.3184736594849777,817,low,2011-06-04,155,-0.9584326198425845,soro,1,0,0,0,0.0923076923076923,0.7428865997024979,4,-0.0207725450460614,short
h1,-1.3184736594849777,817,low,2011-06-04,155,-0.9584326198425845,soro,3,0,0,0,0.001923076923076923,-0.542376608700649,4,-0.0207725450460614,short
h1,-1.3184736594849777,817,low,2011-06-04,155,-0.9584326198425845,soro,4,0,0,0,0.005769230769230769,-0.48768455727923843,4,-0.0207725450460614,short
h1,-1.3184736594849777,817,low,2011-06-04,155,-0.9584326198425845,soro,5,0,0,0,0.02115384615384615,-0.2689163515935964,4,-0.0207725450460614,short
h1,-1.3184736594849777,817,low,2011-06-04,155,-0.9584326198425845,soro,6,0,0,0,0.04038461538461538,0.004543905513456105,4,-0.0207725450460614,short
h1,-1.3184736594849777,817,low,2011-06-04,155,-0.9584326198425845,soro,7,4,1,0.4,0.07692307692307693,0.5241183940168561,4,-0.0207725450460614,short
h1,-1.3184736594849777,817,low,2011-06-04,155,-0.9584326198425845,telu,0,0,0,0,0.011538461538461539,-0.4056464801471226,1,-0.5713662181372517,short
h1,-1.3184736594849777,817,low,2011-06-04,155,-0.9584326198425845,telu,1,1,1,0.1,0.0923076923076923,0.7428865997024979,1,-0.5713662181372517,short
h1,-1.3184736594849777,817,low,2011-06-04,155,-0.9584326198425845,telu,3,0,0,0,0.001923076923076923,-0.542376608700649,1,-0.5713662181372517,short
h1,-1.3184736594849777,817,low,2011-06-04,155,-0.9584326198425845,telu,4,0,0,0,0.005769230769230769,-0.48768455727923843,1,-0.5713662181372517,short
h1,-1.3184736594849777,817,low,2011-06-04,155,-0.9584326198425845,telu,5,0,0,0,0.02115384615384615,-0.2689163515935964,1,-0.5713662181372517,short
h1,-1.3184736594849777,817,low,2011-06-04,155,-0.9584326198425845,telu,6,0,0,0,0.04038461538461538,0.004543905513456105,1,-0.5713662181372517,short
h1,-1.3184736594849777,817,low,2011-06-04,155,-0.9584326198425845,telu,7,0,0,0,0.07692307692307693,0.5241183940168561,1,-0.5713662181372517,short
h1,-1.3184736594849777,817,low,2011-06-09,160,-0.8139227088361878,jone,0,0,0,0,0.01,-0.42752330071568684,1,-0.5713662181372517,short
h1,-1.3184736594849777,817,low,2011-06-09,160,-0.8139227088361878,jone,1,0,0,0,0.04666666666666667,0.0938742561684267,1,-0.5713662181372517,short
h1,-1.3184736594849777,817,low,2011-06-09,160,-0.8139227088361878,jone,4,0,0,0,0.0016666666666666668,-0.5460227454620763,1,-0.5713662181372517,short
h1,-1.3184736594849777,817,low,2011-06-09,160,-0.8139227088361878,jone,5,0,0,0,0.021666666666666667,-0.2616240780707416,1,-0.5713662181372517,short
h1,-1.3184736594849777,817,low,2011-06-09,160,-0.8139227088361878,jone,6,0,0,0,0.034999999999999996,-0.0720249664765186,1,-0.5713662181372517,short
h1,-1.3184736594849777,817,low,2011-06-09,160,-0.8139227088361878,jone,7,1,1,0.030303030303030304,0.085,0.6389717020018182,1,-0.5713662181372517,short
h1,-1.3184736594849777,817,low,2011-06-09,160,-0.8139227088361878,pasc,0,0,0,0,0.01,-0.42752330071568684,10,1.0804148011363193,med
h1,-1.3184736594849777,817,low,2011-06-09,160,-0.8139227088361878,pasc,1,1,1,0.030303030303030304,0.04666666666666667,0.0938742561684267,10,1.0804148011363193,med
h1,-1.3184736594849777,817,low,2011-06-09,160,-0.8139227088361878,pasc,4,0,0,0,0.0016666666666666668,-0.5460227454620763,10,1.0804148011363193,med
h1,-1.3184736594849777,817,low,2011-06-09,160,-0.8139227088361878,pasc,5,0,0,0,0.021666666666666667,-0.2616240780707416,10,1.0804148011363193,med
h1,-1.3184736594849777,817,low,2011-06-09,160,-0.8139227088361878,pasc,6,9,1,0.2727272727272727,0.034999999999999996,-0.0720249664765186,10,1.0804148011363193,med
h1,-1.3184736594849777,817,low,2011-06-09,160,-0.8139227088361878,pasc,7,0,0,0,0.085,0.6389717020018182,10,1.0804148011363193,med
h1,-1.3184736594849777,817,low,2011-06-09,160,-0.8139227088361878,prat,0,0,0,0,0.01,-0.42752330071568684,3,-0.20430376940979153,short
h1,-1.3184736594849777,817,low,2011-06-09,160,-0.8139227088361878,prat,1,0,0,0,0.04666666666666667,0.0938742561684267,3,-0.20430376940979153,short
h1,-1.3184736594849777,817,low,2011-06-09,160,-0.8139227088361878,prat,4,0,0,0,0.0016666666666666668,-0.5460227454620763,3,-0.20430376940979153,short
h1,-1.3184736594849777,817,low,2011-06-09,160,-0.8139227088361878,prat,5,0,0,0,0.021666666666666667,-0.2616240780707416,3,-0.20430376940979153,short
h1,-1.3184736594849777,817,low,2011-06-09,160,-0.8139227088361878,prat,6,1,1,0.030303030303030304,0.034999999999999996,-0.0720249664765186,3,-0.20430376940979153,short
